ChEMBL ID;Name;Synonyms;Type;Smiles
CHEMBL1117;IDARUBICIN;IDARUBICIN|Idamycin|Idarubicin;Small molecule;CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O
CHEMBL1201195;CEFMETAZOLE;CEFMETAZOLE|U-72791;Small molecule;CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21
CHEMBL1726;NISOLDIPINE;BAY K 5552|BAY-K-5552|BAYMYCARD|GEOMATRIX 16E|NISOLDIPIN|NISOLDIPINE|NISOLDIPINE (STN)|NSC-759106|SYSCOR MR 10|SYSCOR MR 20|SYSCOR MR 30|Sular;Small molecule;COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]
CHEMBL504;DIMETHYL SULFOXIDE;DIMETHYL SULFOXIDE|DMSO|Domoso|Infiltrina|NSC-763|Rimso 50|Rimso-50|SQ 9453|SQ-9453|Syntexan;Small molecule;C[S+](C)[O-]
CHEMBL1349;VALACYCLOVIR;VALACICLOVIR|VALACV|VALACYCLOVIR|VALTREX|Valacyclovir|ZELITREX;Small molecule;CC(C)[C@H](N)C(=O)OCCOCn1cnc2c(=O)nc(N)[nH]c21
CHEMBL222863;OUABAIN;NSC-25485|OUABAIN;Small molecule;C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O
CHEMBL414804;OXALIPLATIN;Eloxatin|JM-83|L-OHP|MBP-426 (LIPOSOMAL OXALIPLATIN)|NSC-266046|OXALIPLATIN|RP-54780|SR-96669|XALIPLATIN;Small molecule;
CHEMBL1200585;OXYMETHOLONE;ANADROL-50|ANAPOLON|ANAPOLON 50|ANASTERON|Anadrol|CI-406|HMD|NSC-26,198|NSC-26198|OXIMETHOLONE|OXYMETHOLONE|OXYMETHOLONE CIII|PARDROYD;Small molecule;C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
CHEMBL46;ONDANSETRON;A04AA01|Desmethylondansetron|EUR-1025|GR-38032|GR-38032F|NSC-757870|ONDANSETRON|Ondansetron|ZOFRAN ODT|ZUPLENZ|Zofran;Small molecule;Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
CHEMBL422;TRIFLUOPERAZINE;AMYLOZINE|APO-TRIFLUOPERAZINE|FLURAZINE|NSC-17474|NSC-46061|RP-7623|STELAZINE|STELAZINE FTE|TRIFLUOPERAZINE|Trifluoperazine;Small molecule;CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
CHEMBL282575;ESTRADIOL BENZOATE;BENZESTROFOL|BENZOGYNESTRYL|BENZTRONE|BETA-ESTRADIOL BENZOATE|DIFOLLICULIN|ESTRADIOL 3-BENZOATE|ESTRADIOL BENZOATE|ESTRADIOL MONOBENZOATE|Estradiol benzoate|FOLLIDRIN|NSC-9566|OESTRADIOL BENZOATE|PROGYNON B OLEOSO;Small molecule;C[C@]12CC[C@@H]3c4ccc(OC(=O)c5ccccc5)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
CHEMBL975;MESNA;COENZYME M SODIUM SALT|D 7093|D-7093|MESNA|MISTABRON|Mesnex|NSC-113891|UROMITEXAN;Small molecule;O=S(=O)([O-])CCS.[Na+]
CHEMBL1200862;METYROSINE;Demser|L-588357-0|METIROSINE|METYROSINE|MK-781|RACEMETIROSINE, (S)-;Small molecule;C[C@](N)(Cc1ccc(O)cc1)C(=O)O
CHEMBL1111;AMBRISENTAN;AMBRISENTAN|Ambrisentan|GSK-1325760|GSK-1325760A|GSK1325760|GSK1325760A|LU-208075|Letairis|VOLIBRIS;Small molecule;COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O
CHEMBL262777;VANCOMYCIN;VANCOMYCIN|Vancoled|Vancomycin|Vancor;Small molecule;CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O
CHEMBL878;METOLAZONE;Diulo|METAZOLINE|METENIX|METOLAZONE|METOZALONE|Mykrox|NORMELAN|NSC-759581|OLDREN|SR 720-22|SR-720-22|XURET|Zaroxolyn;Small molecule;Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
CHEMBL1136;TELITHROMYCIN;HMR 3647|HMR-3647|Ketek|LEVVIAX|NSC-758940|TELITHROMYCIN;Small molecule;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C
CHEMBL1489;AZACITIDINE;5-AZACITIDINE|AZACITIDINE|LADAKAMYCIN|NSC-102816|ONUREG|U-18,496|U-18496|Vidaza;Small molecule;Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
CHEMBL64;ISONIAZID;ARMAZID|ARMAZIDE|ATCOTIBINE|CEDIN|COTINAZIN|DIANICOTYL|DOW-ISONIAZID|ERALON|ERTUBAN|HIDRASONIL|HYDRAZID|HYZYD|IPCAZIDE|ISCOTIN|ISIDRINA|ISOBICINA|ISONIAZID|ISONIAZIDUM|ISONICOTAN|ISONICOTINYLHYDRAZINE|Isoniazid|LANIAZID|MYBASAN|NEUMANDIN|NICOTIBINE|NSC-9659|Nydrazid|RIMIFON|STANOZIDE|TEEBACONIN|TISIODRAZIDA;Small molecule;NNC(=O)c1ccncc1
CHEMBL1370561;AMINOPHYLLINE;AMINOPHYLLIN|AMINOPHYLLINE|AMINOPHYLLINE DYE FREE|AMINOPHYLLINE IN SODIUM CHLORIDE|AMINOPHYLLINUM|AMNIVENT-225 SR|AMNIVENT-350 SR|Aminophylline|Ammophyllin|CARDOPHYLLIN|LINAMPHETA|NSC-7919|PHYLLOCONTIN|Peterphyllin|SOMOPHYLLIN-DF|SYNTOPHYLLIN|Somophyllin|THEOPHYLLAMINE|THEOPHYLLINE ETHYLENEDIAMINE|THEOPHYLLINE-ETHYLENEDIAMINE|Truphylline;Small molecule;Cn1c(=O)c2[nH]cnc2n(C)c1=O.Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCCN
CHEMBL1351;CARBOPLATIN;CARBOPLATIN|CARBOPLATINUM|Carboplatine|JM-8|NSC-201345|NSC-241240|Paraplatin;Small molecule;
CHEMBL866;MYCOPHENOLIC ACID;68618|MYCOPHENOLATE|MYCOPHENOLATE MOFETIL IMPURITY, MYCOPHENOLIC ACID-|MYCOPHENOLIC ACID|Myfortic|NSC-129185|RS-61443 [AS MOFETIL];Small molecule;COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2
CHEMBL416898;CHLOROPHENOTHANE;4,4'-DDT|CHLOROPHENOTHANE|CHLORPHENOTANE|CLOFENOTANE|Chlorophenothane|DDT|DDT, P,P'-|DICOPHANE|ENT-1506|NSC-8939|P,P'-DDT|PENTICIDE;Small molecule;Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
CHEMBL490;PAROXETINE;(-)3S,4R-PAROXETINE|ARKETIS|AROTIN|BESITRAM|BRL 29060|BRL-29060|CASBOL|DAPAROX|FG-7051|FROSINOR|MOTIVAN|PAROGEN|PAROXETINE|PAXPAR|Paroxetine|Paxil|Paxil [as hydrochloride]|Pexeva|XETANOR;Small molecule;Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
CHEMBL1201216;DAPIPRAZOLE;DAPIPRAZOLE|Dapiprazole;Small molecule;Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1
CHEMBL1009;LEVODOPA;BROCADOPA|Bendopa|CVT-301|Dopar|INBRIJA|LEVODOPA|LEVODOPUM|Larodopa|NSC-118381|V-1512;Small molecule;N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
CHEMBL742;KETAMINE;ANAKET V|CALYPSOL|CLORKETAM 1000|DL-KETAMINE|IMALGENE 1000|KETALAR|KETAMINE|KETASOL 100|Ketamine|NARKETAN|NSC-70151|PMI-150|TEKAM|URSOTAMIN|VETAKET;Small molecule;CNC1(c2ccccc2Cl)CCCCC1=O
CHEMBL707;DOXAZOSIN;C02CA04|Cardura|DOXAZOSIN|Doxazosin|UK-33274;Small molecule;COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
CHEMBL1068;OXCARBAZEPINE;GP-47680|KIN-493|NSC-758693|OXCARBAMAZEPINE|OXCARBAZEPINE|OXTELLAR XR|SPN-804|Trileptal;Small molecule;NC(=O)N1c2ccccc2CC(=O)c2ccccc21
CHEMBL1480;FELODIPINE;C08CA02|CABREN|CARDIOPLEN XL|FELODIPINE|FELOGEN XL|FELOTENS XL|FOLPIK XL|H 154/82|H-154/82|KELOC SR|NEOFEL XL|NSC-760343|PARMID XL|PINEFELD XL|PRESLOW|Plendil|VASCALPHA;Small molecule;CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
CHEMBL72;DESIPRAMINE;DESIPRAMINE|Desipramine|IMIPRAMINE, DEMETHYL-|MONODEMETHYLIMIPRAMINE|N-DESMETHYLIMIPRAMINE|NORIMIPRAMINE;Small molecule;CNCCCN1c2ccccc2CCc2ccccc21
CHEMBL799;CILOSTAZOL;CILOSTAZOL|NSC-758936|OPC-13013|OPC-21|Pletal;Small molecule;O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
CHEMBL566534;ARTEMETHER;.BETA.-ARTEMETHER|ARTEMETHER|ARTEMETHERUM|ARTESAPH|Artemetheri|DIHYDROARTEMISININ IMPURITY G|FALCIDOL|GVITHER|LARITHER|MALARTEM|NSC-665970|NSC-759820|PALUTHER|SM 224;Small molecule;CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3
CHEMBL517712;ATROPINE;ATROPINE|ATROPINE (AUTOINJECTOR)|ATROPINUM|Atroject|Atropen|Atrophate|Atropine|DL-HYOSCYAMINE|Isopto Atropine;Small molecule;CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2
CHEMBL139;DICLOFENAC;Arthrotec|Cambia|Cataflam|DICLOFENAC|DICLOFENAC FREE ACID|LAS-41007|LAS41007|Solaraze|Voltaren|Voltaren Ophthalmic|Voltaren XR|Voltaren-XR|ZORVOLEX|Zorvolex Capsules;Small molecule;O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
CHEMBL45816;MIBEFRADIL;MIBEFRADIL|POSICOR 100|POSICOR 50|Posicor;Small molecule;COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C
CHEMBL1384;KANAMYCIN;KANAMYCIN|KANAMYCINS|Kanamycin;Small molecule;NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
CHEMBL998;LORATADINE;Alavert|BAY76-2211|CHILDREN'S CLARITIN|CLARITIN HIVES RELIEF|CLARITIN HIVES RELIEF REDITAB|CLARITIN REDITABS|CLARITYN|CLARITYN RAPIDE|CLARITYNE|Claritin|Claritin-D|HAY-RITE|LORATADINE|LORATADINE REDIDOSE|NSC-758628|ROLETRA|SCH 29851|SCH-29851;Small molecule;CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
CHEMBL786;TAMOXIFEN CITRATE;EMBLON|FENTAMOX 10|FENTAMOX 20|I.C.I.46474 CITRATE|ICI 46,474|ICI-46474|KENTADEX|KESSAR|KESSAR 10|KESSAR 20|Kessar|NOLTAM|NOLVADEX D|NOLVADEX FTE|NOURYTAM|NSC-180973|NSC-757345|Nolvadex|OESTRIFEN-10|OESTRIFEN-20|OESTRIFEN-40|Soltamox|TAMOFEN|TAMOFENE|TAMOXIFEN CITRATE|TAMOXIFENI CITRAS|TOMAXASTA|ZEMIDE|ZITAZONIUM|Zynoplex;Small molecule;CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
CHEMBL308954;ETRAVIRINE;ETRAVIRINE|INTELENCE|R-165335|R165335|TMC 125|TMC-125|TMC125;Small molecule;Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br
CHEMBL1537;AZLOCILLIN;AZLOCILLIN|Azlin|Azlocillin|J01CA09|NSC-758227;Small molecule;CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O
CHEMBL75880;PERHEXILINE;PERHEXILINE;Small molecule;C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1
CHEMBL30008;FLUNARIZINE;FLUNARIZINE;Small molecule;Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1
CHEMBL503;LOVASTATIN;6.ALPHA.-METHYLCOMPACTIN|Altoprev|C10AA02|L-154803|LOVASTATIN|MEVINACOR|MEVINACOR 10|MEVINACOR 40|MEVINOLIN|MEVLOR|MK-803|MONACOLIN K|Mevacor|NSC-758662|SIMVASTATIN IMPURITY, LOVASTATIN-|SIVLOR;Small molecule;CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
CHEMBL125;MILTEFOSINE;D-18506|HDPC|IMPAVIDO|MILTEFOSINE|Miltefosine|Miltex|NSC-605583|NSC-758968;Small molecule;CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C
CHEMBL852;MELPHALAN;ALANINE NITROGEN MUSTARD|ALKERAN|Aikeran|CB 3025|CB-3025|L-PAM|L-PHENYLALANINE MUSTARD|L-SARCOLYSIN|MELFALAN|MELPHALAN|NCI-C04853|NSC-241286|NSC-8806|PHENYLALANINE MUSTARD|SARCOLYCIN, L-|SK 15673|SK-15673;Small molecule;N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O
CHEMBL652;FLECAINIDE;FLECAINIDE|Flecainide|NSC-719273|THN-102 COMPONENT FLECAINIDE;Small molecule;O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F
CHEMBL192;SILDENAFIL;APHRODIL|HIP-0908|HIP0908|NIPATRA|PATREX|REVATIO|SILDENAFIL|SILDENAFIL ACTAVIS|SILDENAFIL RATIOPHARM|SILDENAFIL TEVA|Sildenafil|UK-92480|VIAGRA|VIZARSIN;Small molecule;CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
CHEMBL1200623;ETHYLESTRENOL;DURABOLIN-O|DURABORAL|ETHYLESTRENOL|ETHYLNANDROL|ETHYLOESTRENOL|Maxibolin|NSC-37726|ORABOLIN;Small molecule;CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C
CHEMBL1481;GLIMEPIRIDE;Amaryl|GLIMEPIRIDE|HOE 490|HOE-490|NIDDARYL|NSC-759809;Small molecule;CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O
CHEMBL408;TROGLITAZONE;CI-991|CS-045|GR-92132X|GR92132X|Prelay|ROMOZIN|Rezulin|TROGLITAZONE;Small molecule;Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
CHEMBL1088;MESORIDAZINE;Lidanar|MESORIDAZINE|Mesoridazine|NC-123|NSC-186066|Serentil|THIORIDAZINE-2-SULFOXIDE|TPS-23;Small molecule;CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21
CHEMBL541;BENZOIC ACID;ACIDUM BENZOICUM|BENZOIC ACID|BENZOIC ACID (E 210)|BENZOICUM ACIDUM|Benzoate|Benzoic Acid|DRACYLIC ACID|E-210|E210|FEMA NO. 2131|INS NO.210|INS-210|MENNO-FLORADES|NSC-149|VEVOVITALL|WHITFIELD'S;Small molecule;O=C(O)c1ccccc1
CHEMBL1428;NIMODIPINE;ADMON|BAY E 9736|BAY-E-9736|NEMOTAN|NIMODIPINE|NIMODIPINE AP|NSC-758476|NYMALIZE|Nimotop|PERIPLUM;Small molecule;COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
CHEMBL1201151;MESTRANOL;33355|EE-3ME|EE3 ME|EE3-ME|EE3ME|EEI3ME|MESTRANOL|NSC-84032;Small molecule;C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C
CHEMBL340978;BENOXAPROFEN;BENOXAPROFEN|COMPD 90459|COMPOUND 90459|COXIGON|NSC-299582|OPREN|Oraflex;Small molecule;CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1
CHEMBL643;PROMETHAZINE;DIMAPP|DIPHERGAN|FARGAN|NSC-30321|PROAZAMINE|PROCIT|PROMETAZIN|PROMETHAZINE|PROTAZINE|PROTHAZIN|Phenergan|Promethacon|Promethazine|Promethegan|RP-3277|Remsed|VALLERGINE|Zipan-25|Zipan-50;Small molecule;CC(CN1c2ccccc2Sc2ccccc21)N(C)C
CHEMBL19224;PAPAVERINE;NSC-136630|PAPAVERINE|PAPAVERINUM|Papaverine;Small molecule;COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
CHEMBL175691;RILPIVIRINE;EDURANT|R 278474|R-278474|R278474|RILPIVIRINE|TMC-278|TMC278;Small molecule;Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1
CHEMBL1431;METFORMIN;LA-6023|METFORMIN|METFORMIN EXTENDED RELEASE|Metformin;Small molecule;CN(C)C(=N)NC(=N)N
CHEMBL110;BENZNIDAZOLE;BENZNIDAZOLE|BENZNIDAZOLUM|BENZONIDAZOL|NSC-299972|RADANIL|RO 07-1051|RO-07-1051|RO-7-1051|ROCHAGAN;Small molecule;O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1
CHEMBL34259;METHOTREXATE;(R)-METHOTREXATE|ADX-2191|AMETHOPTERIN|Abitrexate|Amethopterin|CL 14377|CL-14377|D-AMETHOPTERIN|D-METHOTREXATE|EBETREX|EMT-25299|EMTEXATE HIGH-POT|EMTEXATE PF|Folex|MAXTREX|METHOTREXATE|METHOTREXATE, (R)-|METHOTREXATE, D-|METHOTREXATUM|METHYLAMINOPTERIN|METOJECT|Mexate|Mexate-AQ|NSC-740|OTREXUP|OTREXUP PFS|R-9985|R-METHOTREXATE|RASUVO|REDITREX|Rheumatrex|TCMDC-123832|TCMDC-125488|TCMDC-125858|Trexall|ZLATAL|methotrexate;Small molecule;CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
CHEMBL469;KETOROLAC;KETOROLAC|Ketorolac;Small molecule;O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
CHEMBL137;METRONIDAZOLE;ACEA|ANABACT|BAY-5360|BAYER 5360|BAYER-5360|DEFLAMON|DRAZIFON|ELYZOL|FLAGYL COMPAK|FLAGYL ER|FLAGYL-400|FLAGYL-S|Flagyl|Flagyl 375|Flagyl i.v. rtu in plastic container|GINEFLAVIR|METRO I.V.|METROCREAM|METROGEL-VAGINAL|METROLOTION|METROLYL|METROMIDOL|METRONIDAZOLE|METROSA|METROTOP|Metric 21|Metrogel|NEUTRATOP|NORZOL|NSC-50364|NSC-69587|NUVESSA|Noritate|ORVAGIL|PROTOSTAT|ROSICED|ROZEX|RP 8823|RP-8823|SATRIC|VAGINYL|Vandazole|ZADSTAT|ZIDOVAL|ZYOMET;Small molecule;Cc1ncc([N+](=O)[O-])n1CCO
CHEMBL98;VORINOSTAT;MK-0683|MK0683|NSC-701852|NSC-748799|NSC-759852|SUBEROYLANILIDE HYDROXAMIC ACID|VORINOSTAT|Zolinza;Small molecule;O=C(CCCCCCC(=O)Nc1ccccc1)NO
